id,Source,Page_URL,Followers,Date,Time,Time Zone,Interactions,Post Type,Post_Message,Post_Link
"501","The Other 98%","Facebook.com/Blacktivists","2440120","2016-06-22","19:00:00","GMT-0400","21723","Facebook","Word","https://www.facebook.com/TheOther98/posts/1357776150900026\"
"502","I Love Being Black","Facebook.com/Blacktivists","6605641","2017-08-20","15:49:00","GMT-0400","10034","Facebook","#YES","https://www.facebook.com/lovebeingblack/posts/10155333258766928\"
"504","The Other 98%","Facebook.com/Blacktivists","2473162","2016-06-29","22:00:00","GMT-0400","6590","Facebook","NRA WTF?","https://www.facebook.com/TheOther98/posts/1363688680308773\"
"505","Blacktivist","Facebook.com/Blacktivists","107180","2016-07-22","11:00:00","GMT-0400","344309","Facebook","A 14-year-old Royce Mann brought hundreds of people to tears after he performed a slam poem on white privilege, police brutality and Black Lives Matter movement. ""All Lives Matter","https://www.facebook.com/blacktivists/posts/300789326930837"
"506","Blacktivist","Facebook.com/Blacktivists","186908","2016-10-26","09:00:35","GMT-0400","269853","Facebook","Africa is in your bloodline.","https://www.facebook.com/blacktivists/posts/351886878487748\"
"507","Blacktivist","Facebook.com/Blacktivists","201136","2016-11-23","10:00:00","GMT-0500","245516","Facebook","PLEASE HELP THIS VIDEO GO VIRAL. THESE COPS CAN BEAT UP INNOCENT MAN, GET AWAY WITH MURDER EVEN WHEN IT`S CAUGHT ON CAMERA JUST BECAUSE THEY WEAR A 'MAGICAL' BADGE AND GUN. But it doesn`t make what they do right","https://www.facebook.com/blacktivists/posts/366207037055732\"
"508","Blacktivist","Facebook.com/Blacktivists","347948","2017-06-22","18:00:00","GMT-0400","138590","Facebook","[no content]","https://www.facebook.com/blacktivists/posts/471028066573628\"
"509","Blacktivist","Facebook.com/Blacktivists","228980","2017-01-17","21:00:00","GMT-0500","130298","Facebook","repost @africanstylediary","https://www.facebook.com/blacktivists/posts/393170954359340\"
"510","Blacktivist","Facebook.com/Blacktivists","200848","2016-11-22","10:00:00","GMT-0500","128979","Facebook","MAKE THIS VIDEO GO VIRAL. COP HANDCUFFED BLACK MAN AND HIT HIM REPEATEDLY AS HE ATTEMPTED TO EXPLAIN HE WAS HAVING A SEIZURE","https://www.facebook.com/blacktivists/posts/365702893772813\"
"511","Blacktivist","Facebook.com/Blacktivists","343055","2017-06-13","21:00:00","GMT-0400","123074","Facebook","repost @thebassman102","https://www.facebook.com/blacktivists/posts/465678447108590\"
"512","Blacktivist","Facebook.com/Blacktivists","241522","2017-02-08","15:56:01","GMT-0500","102916","Facebook","When ballet dancers can mix modern dance and ballet.","https://www.facebook.com/blacktivists/posts/403931493283286\"
"513","Blacktivist","Facebook.com/Blacktivists","202013","2016-11-24","17:00:00","GMT-0500","81704","Facebook","PLEASE HELP THIS VIDEO GO VIRAL. POLICE OFFICERS USED TASER ON DISABLED BLACK WOMAN FOR FILMING DAUGHTER`S ARREST Harris County, TX police officers allegedly deployed a Taser against a 36-year-old black woman in a wheelchair for recording her daughter`s arrest. Police officers needlessly attacked disabled woman for exercising her constitutional rights. And instead of treating her like a human being, cops can be seen treating her like an animal. Police literally grabbed her cellphone and threw it away before tasing her until she collapsed out of her wheelchair. When Sheketha Holman discovered her daughter was under arrest for marijuana possession and criminal mischief, she immediately arrived at a Valero gas station in Houston to find out what happened and to film the arrest. However, police asked her to leave the property. The video shows a deputy snatching the phone out of non-threatening Holman before tossing it away. Seconds later, Holman appeared on the ground after a deputy tased her. After the incident, deputies charged Holman with resisting arrest and trespassing. None of the officers have yet been identified or indicted. Enough is enough. Black people have to do something. An eye for an eye. The law enforcement officers keep harassing and killing us without consequences. It`s time to put an end to police violence. This is the very reason for BLACKTIVIST.","https://www.facebook.com/blacktivists/posts/366911443651958\"
"514","Blacktivist","Facebook.com/Blacktivists","219087","2016-12-12","14:00:00","GMT-0500","80936","Facebook","This video will make you cry. Husband surprises her wife. This is how black man appreciates and loves his wife.","https://www.facebook.com/blacktivists/posts/376688556007580\"
"515","Blacktivist","Facebook.com/Blacktivists","369675","2017-07-17","09:00:00","GMT-0400","80056","Facebook","Apparently, selling flowers is a crime?! If we don't fight back in sheer numbers, then we will always suffer this kind of treatment.","https://www.facebook.com/blacktivists/posts/485063351836766\"
"516","Blacktivist","Facebook.com/Blacktivists","344706","2017-06-17","15:00:00","GMT-0400","70223","Facebook","Too lit to be true","https://www.facebook.com/blacktivists/posts/467119873631114\"
"517","Blacktivist","Facebook.com/Blacktivists","307679","2017-05-03","09:00:00","GMT-0400","68000","Facebook","There is a war going against black kids.","https://www.facebook.com/blacktivists/posts/445895095753592\"
"518","Blacktivist","Facebook.com/Blacktivists","255026","2017-02-20","15:55:00","GMT-0500","66827","Facebook","Make sure you guide your children and motivate them.","https://www.facebook.com/blacktivists/posts/409736726036096\"
"519","Blacktivist","Facebook.com/Blacktivists","158763","2016-09-06","13:00:00","GMT-0400","66458","Facebook","I wish white men were as vocally outraged about rapists going free as they are about a guy not standing for the National Anthem.","https://www.facebook.com/blacktivists/posts/323435871332849\"
